drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,
1361364,1560278,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
1361365,1560278,3,8576,NA,NA,NA,NA,NA,07/08/2017,31/12/2099,NA
1361368,1560278,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
1361370,1560278,3,8576,NA,NA,NA,NA,NA,07/08/2017,31/12/2099,NA
1830184,42903802,10,8576,NA,NA,NA,NA,NA,01/09/2021,31/12/2099,NA
1830278,42903802,NA,8576,NA,NA,NA,NA,NA,03/12/2012,31/12/2099,NA
1830279,42903802,NA,8576,NA,NA,NA,NA,NA,03/12/2012,31/12/2099,NA
1830280,42903802,10,8576,NA,NA,NA,NA,NA,01/09/2021,31/12/2099,NA
1830281,42903802,10,8576,NA,NA,NA,NA,50,01/09/2021,31/12/2099,NA
1830282,42903802,10,8576,NA,NA,NA,NA,50,01/09/2021,31/12/2099,NA
1830283,42903802,10,8576,NA,NA,NA,NA,50,01/09/2021,31/12/2099,NA
1971546,1560524,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
1971546,19049024,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
1971546,19136048,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35604434,19020477,NA,8554,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35604435,19020477,NA,NA,99.2,8554,NA,NA,NA,01/01/1970,31/12/2099,NA
35604439,19020477,NA,NA,99,8554,NA,NA,NA,01/01/1970,31/12/2099,NA
35604879,1140643,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35604880,1140643,11,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35604883,1140643,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35604884,1140643,11,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35774678,939506,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35774678,19041085,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
35774678,42899580,NA,8576,NA,NA,NA,NA,NA,01/10/2012,31/12/2099,NA
37593197,967823,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
37593197,19136048,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
44091285,42899580,NA,NA,9.4,8576,NA,8576,NA,02/08/2018,31/12/2099,NA
40721254,42899580,NA,NA,0.0094,8576,NA,8576,NA,04/06/2018,31/12/2099,NA
40741270,939506,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
40741270,19041085,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
40741270,42899580,NA,8576,NA,NA,NA,NA,NA,01/10/2012,31/12/2099,NA
42899580,42899580,NA,8576,NA,NA,NA,NA,NA,01/10/2012,31/12/2099,NA
35741956,35741956,NA,8576,NA,NA,NA,NA,NA,01/01/1970,01/08/2018,U
36034746,967823,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
36034747,967823,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
36034751,967823,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
36034751,19010496,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
36034751,45892785,NA,8576,NA,NA,NA,NA,NA,02/03/2015,31/12/2099,NA
36036059,1560278,3,8576,NA,NA,NA,NA,NA,17/06/2021,31/12/2099,NA
37498042,37498042,NA,8576,NA,NA,NA,NA,NA,04/05/2020,31/12/2099,NA
44081436,939506,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
44081436,939863,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
44081436,967823,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
44081436,19041085,NA,8576,NA,NA,NA,NA,NA,01/01/1970,31/12/2099,NA
44081436,42899580,NA,8576,NA,NA,NA,NA,NA,01/10/2012,31/12/2099,NA
